Leg	Site	Hole	Core	Core_type	Section_number	Section_type	Top_cm	Depth_mbsf	Section_id	Magnetic_susceptibility	Corrected_susceptibility	Run_number	Run_timestamp	Core_status	Liner_status	Requested_daq_interval	Requested_daqs_per_sample	Bkgd_susceptibility	Bkgd_elapsed_zero_time	Core_temperature	Loop_temperature	Sample_elapsed_zero_time	Actual_daq_period	Core_diameter
208	1263	C	12	H	4	S	25	268	391430	16	15.9760575018929465897839128662123594851	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	65771	4	6.6000000000000005
208	1263	C	12	H	4	S	27	268	391430	14.5	14.4735220455472071757236880424020036112	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	72736	4	6.6000000000000005
208	1263	C	12	H	4	S	30	268	391430	13.8	13.7709891373988001630846292736909546275	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	79694	4	6.6000000000000005
208	1263	C	12	H	4	S	32	268	391430	13	12.96843657172811462519657522278525249	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	86706	4	6.6000000000000005
208	1263	C	12	H	4	S	35	268	391430	13.200000000000001	13.1658960189877104082940182887762828353	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	93685	4	6.6000000000000005
208	1263	C	12	H	4	S	37	268	391430	12.200000000000001	12.1633598345855903081134603063661249927	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	100652	4	6.6000000000000005
208	1263	C	12	H	4	S	40	268	391430	12	11.9608236501834702079329023239559671501	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	107619	4	6.6000000000000005
208	1263	C	12	H	4	S	42	268	391430	12	11.9582860096685887355116780243462053701	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	114590	4	6.6000000000000005
208	1263	C	12	H	4	S	45	268	391430	11	10.9557450928999941755489545110373347312	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	121570	4	6.6000000000000005
208	1263	C	12	H	4	S	47	268	391430	11.200000000000001	11.1532052682159706447667307356281670453	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	128547	4	6.6000000000000005
208	1263	C	12	H	4	S	50	268	391430	13	12.9506665356165181431650066981187023123	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	135521	4	6.6000000000000005
208	1263	C	12	H	4	S	52	268	391430	17	16.9481310792707787291047818743083464384	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	142486	4	6.6000000000000005
208	1263	C	12	H	4	S	55	268	391430	13.200000000000001	13.1453812103209272526064418428563107927	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	150040	4	6.6000000000000005
208	1263	C	12	H	4	S	57	268	391430	13.8	13.7424052798648727357446560661657638768	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	158215	4	6.6000000000000005
208	1263	C	12	H	4	S	60	268	391430	14.200000000000001	14.1394490069310967441318655716698701147	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	166336	4	6.6000000000000005
208	1263	C	12	H	4	S	62	268	391430	15	14.9364960102510338400605742908730852117	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	174448	4	6.6000000000000005
208	1263	C	12	H	4	S	65	268	391430	16.8	16.7335408294018288776282835342768944027	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	182566	4	6.6000000000000005
208	1263	C	12	H	4	S	67	268	391430	15	14.9305878327217659735569922534801094997	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	190678	4	6.6000000000000005
208	1263	C	12	H	4	S	70	268	391430	16	15.9276333799289416972450346554837206593	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	198794	4	6.6000000000000005
208	1263	C	12	H	4	S	72	268	391430	19	18.924677835051546391752577319587628866	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	206913	4	6.6000000000000005
208	1263	C	12	H	4	S	75	268	391430	31.8	31.7205836099947579940590599336012580814	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	218160	4	6.6000000000000005
208	1263	C	12	H	4	S	77	268	391430	52	51.9173856223425942104956607839711107228	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	226945	4	6.6000000000000005
208	1263	C	12	H	4	S	80	268	391430	29.5	29.4141879987186207699924282136408643485	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	235729	4	6.6000000000000005
208	1263	C	12	H	4	S	82	268	391430	16	15.9109929232919797309103616984099248646	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	244506	4	6.6000000000000005
208	1263	C	12	H	4	S	85	268	391430	13.200000000000001	13.1077952996680062904071291280796784903	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	253290	4	6.6000000000000005
208	1263	C	12	H	4	S	87	268	391430	12.5	12.4045991321567942221445628749490360534	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	262070	4	6.6000000000000005
208	1263	C	12	H	4	S	90	268	391430	12	11.9014004164482497524608305667190867261	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	270857	4	6.6000000000000005
208	1263	C	12	H	4	S	92	268	391430	12.8	12.6982017007397052827770982584891373988	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	279644	4	6.6000000000000005
208	1263	C	12	H	4	S	95	268	391430	12.5	12.3950033490593511561535325295590890559	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	288430	4	6.6000000000000005
208	1263	C	12	H	4	S	97	268	391430	12.5	12.3918057254353777156502999592288426816	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	297214	4	6.6000000000000005
208	1263	C	12	H	4	S	100	268	391430	12.5	12.388609921952355990447900285398101229	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	305993	4	6.6000000000000005
208	1263	C	12	H	4	S	102	268	391430	12	11.8854119343001922068845011357679538704	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	314778	4	6.6000000000000005
208	1263	C	12	H	4	S	105	268	391430	12.5	12.3822135826198380802609354068379055274	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	323564	4	6.6000000000000005
208	1263	C	12	H	4	S	107	268	391430	12	11.8790123187139612091560370435086493098	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	332358	4	6.6000000000000005
208	1263	C	12	H	4	S	110	269	391430	12	11.8758103267517036519308055215795911235	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	341154	4	6.6000000000000005
208	1263	C	12	H	4	S	112	269	391430	11.5	11.3726097909022074669462403168501368746	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	349946	4	6.6000000000000005
208	1263	C	12	H	4	S	115	269	391430	11.200000000000001	11.0693004106237987069718679014502883103	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	359037	4	6.6000000000000005
208	1263	C	12	H	4	S	117	269	391430	11.5	11.3659655483720659327858349350573708428	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	368198	4	6.6000000000000005
208	1263	C	12	H	4	S	120	269	391430	11.8	11.6626328702894752169608014444638592813	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	377353	4	6.6000000000000005
208	1263	C	12	H	4	S	122	269	391430	12	11.8592994641505038150154347952705457511	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	386510	4	6.6000000000000005
208	1263	C	12	H	4	S	125	269	391430	12	11.8559624177296289824684023530782223775	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	395677	4	6.6000000000000005
208	1263	C	12	H	4	S	127	269	391430	12.8	12.6526268274215155221620362280855029414	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	404840	4	6.6000000000000005
208	1263	C	12	H	4	S	130	269	391430	12.200000000000001	12.0492912371134020618556701030927835052	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	414003	4	6.6000000000000005
208	1263	C	12	H	4	S	132	269	391430	12.8	12.6459574669462403168501368745995689906	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	423161	4	6.6000000000000005
208	1263	C	12	H	4	S	135	269	391430	12.8	12.6426207845535558273632710117071466014	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	432327	4	6.6000000000000005
208	1263	C	12	H	4	S	137	269	391430	12.8	12.6392830100763003086959054109150212593	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	441496	4	6.6000000000000005
208	1263	C	12	H	4	S	140	269	391430	12.5	12.3359485118527578775700390238220047761	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	450656	4	6.6000000000000005
208	1263	C	12	H	4	S	142	269	391430	12	11.8326118294600733880831731609295823869	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	459822	4	6.6000000000000005
208	1263	C	12	H	4	S	145	269	391430	12.200000000000001	12.0292747830391985555361407187372590133	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	468989	4	6.6000000000000005
208	1263	C	12	H	4	S	147	269	391430	11.200000000000001	11.0259384646747044091094414351447376085	915	2003-04-05 08:51	FULL	FULL	2.5	4	0.2	549408	20.8	22	478154	4	6.6000000000000005
208	1263	C	12	H	5	S	5	269	391435	12.8	12.7909188344717337596279610521726493242	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	9998	4	6.6000000000000005
208	1263	C	12	H	5	S	7	269	391435	13	12.9845607469844499346025287022235140241	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	16998	4	6.6000000000000005
208	1263	C	12	H	5	S	10	269	391435	13	12.9782317250399651213486411858741461997	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	23966	4	6.6000000000000005
208	1263	C	12	H	5	S	12	269	391435	13.200000000000001	13.1719054279901177154483359976747565761	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	30931	4	6.6000000000000005
208	1263	C	12	H	5	S	15	269	391435	13	12.9655718645545705566051446010754250836	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	37904	4	6.6000000000000005
208	1263	C	12	H	5	S	17	269	391435	13	12.9592310347333236448190669960761517221	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	44885	4	6.6000000000000005
208	1263	C	12	H	5	S	20	269	391435	12.5	12.4528929298067141403865717192268565616	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	51863	4	6.6000000000000005
