Leg	Site	Hole	Core	Core_type	Section_number	Section_type	Top_cm	Depth_mbsf	Section_id	Density	Run_number	Run_timestamp	Core_status	Liner_status	Requested_daq_interval	Requested_daq_period	Actual_daq_period	Measured_counts	Core_diameter	Calibration_timestamp	Calib_density_m0	Calib_density_m1	Calib_density_mse
208	1262	C	1	H	1	S	95	90	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38160	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	97	90	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38036	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	100	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38454	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	102	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38430	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	105	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	37576	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	107	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	37713	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	110	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	37609	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	112	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	37848	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	115	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38081	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	117	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	39790	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	120	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38881	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	122	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38295	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	125	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	37676	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	127	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38176	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	130	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38532	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	132	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38076	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	135	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	37818	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	137	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38301	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	140	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	37886	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	142	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	38554	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	1	S	145	91	388055	1	310	2003-03-28 20:37:00	FULL	FULL	2.5	5	5	37537	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	5	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	40137	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	7	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38428	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	10	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	39122	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	12	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	39232	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	15	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	37563	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	17	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	37891	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	20	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38402	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	22	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38256	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	25	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38143	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	27	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38298	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
