"GO_STRUCT_NAME","GO_STRUCT_TYPE","JSON_NAME","CODE","JSON_UNIT","JSON_UNIT_DESCRIPT","JSON_DESCRIPT"
"K2o_wt_pct","sql.NullFloat64","K2O_wt_pct","*","wt%","weight percent (wt%)","Measurement value of Potassium oxide (K2O) in weight percent (wt%)."
"L_star","float64","L_star","*","","","Measurement value of the L* lightness measurement of L*a*b* CIELAB system for color reflectance."
"La_ppm","sql.NullFloat64","La_ppm","*","wt%","weight percent (wt%)","Measurement value of Lanthanum (La) in weight percent (wt%)."
"Last_channel","int64","Last_channel","#","nm","nannometers (nm)","Wavelength of the last channel of color reflectance spectral values in nm."
"Leg","int64","Leg","","","","Number identifying the cruise."
"Length_cored","sql.NullFloat64","Length_cored","#","m","meters (m)","Length cored of the core in meters."
"Length_recovered","sql.NullFloat64","Length_recovered","#","m","meters (m)","Length of material recovered in the core in meters."
"Light_abbr","sql.NullString","Light_abbr","#","","","Abbreviation for microscope light type."
"Lims_component_id","int64","Lims_component_id","#","","","Identifier (ID) of the LIMS component for the loop."
"Liner_correction","sql.NullString","Liner_correction","","","","Flag for if liner correction was applied to measurement."
"Liner_status","sql.NullString","Liner_status","--","","","Indicator for type of core liner; NONE, HALF, or FULL."
"Liner_status","string","Liner_status","--","","","Indicator for type of core liner; NONE, HALF, or FULL."
"Liner_thickness","sql.NullFloat64","Liner_thickness","#","mm","millimeters (mm)","Thickness of core liner in mm. If liner correction = No then this value is zero."
"Lithology_code","string","Lithology_code","","","","One character alpha-numeric code for lithology identified in smear slide."
"Location","string","Location","#","","","Code that indicates the site where the Janus application is exercised.  Values are SHI(ship), GCR (Gulf Coast Repository), ECR (East Coast Repository) and BRE (Bremen repository)."
"Loop_temperature","sql.NullFloat64","Loop_temperature","*","��C","degrees Celcius (��C)","Temperature of the Bartington instrument loop through which a core is passed in degrees celcius."
"Magnetic_susceptibility","float64","Magnetic_susceptibility","*","SI","SI","Measurement value of magnetic susceptibility in SI units."
"Magnification","sql.NullString","Magnification","#","","","Magnification used for the microphotograph."
"Max_torque_angle","sql.NullFloat64","Max_torque_angle","*","��","degrees (��)","Measurement value of the torque angle at sediment failure in degrees."
"Mean_acoustic_signal","sql.NullFloat64","Mean_acoustic_signal","@@ *","","","Measurement value of the mean acoustic signal for velocity."
"Meas_separation_mean","sql.NullFloat64","Meas_separation_mean","*","mm","millimeters (mm)","Measurement value of the distance between a pair of transducers in mm."
"Meas_time_mean","sql.NullFloat64","Meas_time_mean","*","��s","microseconds (��s)","Measurement value of the transit time for a wave to travel between transducers in microseconds."
"Meas_time_sd","sql.NullFloat64","Meas_time_sd","*","��s","microseconds (��s)","Measurement value of the calculated standard deviation of the measured time for a signal to travel between a pair of transducers in microseconds."
"Measured_counts","int64","Measured_counts","*","ct","count (ct)","Raw measured counts collected by an MST instrument during a measurement."
