struct_name	table_name	column_name	column_id	go_struct_name	go_struct_type	json_name	code	xs_type	json_unit	json_unit_descript	json_descript
JanusChemCarb	OCD_CHEM_CARB	TOT_C_WT_PCT	28	Tot_c_wt_pct	sql.NullString	Tot_C_wt_pct		float	wt%	weight percent (wt%)	Measurement value of Total Carbon in weight percent (wt%).
JanusChemCarb	OCD_CHEM_CARB	ORG_C_WT_PCT	29	Org_c_wt_pct	sql.NullString	Org_C_wt_pct		float	wt%	weight percent (wt%)	Measurement value of Organic Carbon in weight percent (wt%).
JanusChemCarb	OCD_CHEM_CARB	NIT_WT_PCT	30	Nit_wt_pct	sql.NullString	Nit_wt_pct		float	wt%	weight percent (wt%)	Measurement value of Nitrogen (N) in weight percent (wt%).
JanusChemCarb	OCD_CHEM_CARB	SUL_WT_PCT	31	Sul_wt_pct	sql.NullString	Sul_wt_pct		float	wt%	weight percent (wt%)	Measurement value of Sulfur (S) in weight percent (wt%).
JanusChemCarb	OCD_CHEM_CARB	H_WT_PCT	32	H_wt_pct	sql.NullString	H_wt_pct		float	wt%	weight percent (wt%)	Measurement value of Hydrogen (H) in weight percent (wt%).
JanusChemGas	OCD_CHEM_GAS	LEG	1	Leg	int64	Leg					Number identifying the cruise.
JanusChemGas	OCD_CHEM_GAS	SITE	2	Site	int64	Site					Number identifying the site from which the core was retrieved. A site is the position of a beacon around which holes are drilled.
JanusChemGas	OCD_CHEM_GAS	HOLE	3	Hole	string	Hole					Letter identifying the hole at a site from which a core was retrieved or data was collected.
JanusChemGas	OCD_CHEM_GAS	CORE	4	Core	int64	Core					Sequential numbers identifying the cores retrieved from a particular hole.
JanusChemGas	OCD_CHEM_GAS	CORE_TYPE	5	Core_type	string	Core_type					Letter code identifying the drill bit/coring method used to retrieve the core.
JanusChemGas	OCD_CHEM_GAS	SECTION_NUMBER	6	Section_number	int64	Section_number					Sequential number of a section of a core.
JanusChemGas	OCD_CHEM_GAS	SECTION_TYPE	7	Section_type	string	Section_type					Type of a section (C=Core Catcher, S=Core).
JanusChemGas	OCD_CHEM_GAS	SECTION_ID	8	Section_id	int64	Section_id					Identifier (ID) of a section of a core.
JanusChemGas	OCD_CHEM_GAS	TOP_CM	9	Top_cm	string	Top_cm		float	cm	centimeters (cm)	Top value of an interval of a section in cm.
JanusChemGas	OCD_CHEM_GAS	BOT_CM	10	Bot_cm	sql.NullString	Bot_cm		float	cm	centimeters (cm)	Bottom value of an interval of a section in cm.
JanusChemGas	OCD_CHEM_GAS	DEPTH_MBSF	11	Depth_mbsf	sql.NullString	Depth_mbsf		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf).
JanusChemGas	OCD_CHEM_GAS	DEPTH_MBSF_C	12	Depth_mbsf_c	sql.NullString	Depth_mbsf_c		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with compression applied.
JanusChemGas	OCD_CHEM_GAS	DEPTH_MBSF_V	13	Depth_mbsf_v	sql.NullString	Depth_mbsf_v		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with voids removed.
JanusChemGas	OCD_CHEM_GAS	DEPTH_MBSF_VC	14	Depth_mbsf_vc	sql.NullString	Depth_mbsf_vc		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with voids removed and compression applied.
JanusChemGas	OCD_CHEM_GAS	DEPTH_MBSF_E	15	Depth_mbsf_e	sql.NullString	Depth_mbsf_e		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with exotics removed.
JanusChemGas	OCD_CHEM_GAS	DEPTH_MBSF_EC	16	Depth_mbsf_ec	sql.NullString	Depth_mbsf_ec		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with exotics removed and compression applied.
JanusChemGas	OCD_CHEM_GAS	DEPTH_MBSF_VE	17	Depth_mbsf_ve	sql.NullString	Depth_mbsf_ve		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with voids and exotics removed.
JanusChemGas	OCD_CHEM_GAS	DEPTH_MBSF_VEC	18	Depth_mbsf_vec	sql.NullString	Depth_mbsf_vec		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with voids and exotics removed and compression applied.
JanusChemGas	OCD_CHEM_GAS	DEPTH_MCD	19	Depth_mcd	sql.NullString	Depth_mcd		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd).
JanusChemGas	OCD_CHEM_GAS	DEPTH_MCD_C	20	Depth_mcd_c	sql.NullString	Depth_mcd_c		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with compression applied.
JanusChemGas	OCD_CHEM_GAS	DEPTH_MCD_V	21	Depth_mcd_v	sql.NullString	Depth_mcd_v		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with voids removed.
JanusChemGas	OCD_CHEM_GAS	DEPTH_MCD_VC	22	Depth_mcd_vc	sql.NullString	Depth_mcd_vc		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with voids removed and compression applied.
JanusChemGas	OCD_CHEM_GAS	DEPTH_MCD_E	23	Depth_mcd_e	sql.NullString	Depth_mcd_e		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with exotics removed.
JanusChemGas	OCD_CHEM_GAS	DEPTH_MCD_EC	24	Depth_mcd_ec	sql.NullString	Depth_mcd_ec		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with exotics removed and compression applied.
JanusChemGas	OCD_CHEM_GAS	DEPTH_MCD_VE	25	Depth_mcd_ve	sql.NullString	Depth_mcd_ve		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with voids and exotics removed.
JanusChemGas	OCD_CHEM_GAS	DEPTH_MCD_VEC	26	Depth_mcd_vec	sql.NullString	Depth_mcd_vec		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with voids and exotics removed and compression applied.
JanusChemGas	OCD_CHEM_GAS	SAMPLE_ID	27	Sample_id	int64	Sample_id					Identifier (ID) of a sample.
JanusChemGas	OCD_CHEM_GAS	LOCATION	28	Location	string	Location					Code that indicates the site where the Janus application is exercised.  Values are SHI(ship), GCR (Gulf Coast Repository), ECR (East Coast Repository) and BRE (Bremen repository).
JanusChemGas	OCD_CHEM_GAS	RUN_ID	29	Run_id	int64	Run_id					Identifier of a run on a sample analysis.
JanusChemGas	OCD_CHEM_GAS	METHOD_CODE	30	Method_code	string	Method_code					Code for the method or instrument used for analyzing a sample.
JanusChemGas	OCD_CHEM_GAS	GAS_SAMPLE_METHOD	31	Gas_sample_method	string	Gas_sample_method					Method used for obtaining gas sample.
JanusChemGas	OCD_CHEM_GAS	GAS_DETECTOR_SIGNAL	32	Gas_detector_signal	string	Gas_detector_signal					Type of detection signal for gas sample.
JanusChemGas	OCD_CHEM_GAS	C1_C2_RATIO	33	C1_c2_ratio	sql.NullString	C1_C2_ratio		float			Calculated value of ratio of Methane/Ethane (C1/C2 in ppm).
JanusChemGas	OCD_CHEM_GAS	C1_PPM	34	C1_ppm	sql.NullString	C1_ppm		float	ppm	parts per million (ppm)	Measurement value of Methane (C1) in ppm.
JanusChemGas	OCD_CHEM_GAS	C2_PPM	35	C2_ppm	sql.NullString	C2_ppm		float	ppm	parts per million (ppm)	Measurement value of Ethane (C2) in ppm.
JanusChemGas	OCD_CHEM_GAS	C2E_PPM	36	C2e_ppm	sql.NullString	C2e_ppm		float	ppm	parts per million (ppm)	Measurement value of Ethylene (C2=) in ppm.
JanusChemGas	OCD_CHEM_GAS	C2_C2E_PPM	37	C2_c2e_ppm	sql.NullString	C2_C2e_ppm		float	ppm	parts per million (ppm)	Measurement value of Ethane+Ethylene (C2+C2=) in ppm.
JanusChemGas	OCD_CHEM_GAS	C3_PPM	38	C3_ppm	sql.NullString	C3_ppm		float	ppm	parts per million (ppm)	Measurement value of Propane (C3) in ppm.
JanusChemGas	OCD_CHEM_GAS	C3_C3P_PPM	39	C3_c3p_ppm	sql.NullString	C3_C3p_ppm		float	ppm	parts per million (ppm)	Measurement value of Propane+Propylene (C3+C3=) in ppm.
JanusChemGas	OCD_CHEM_GAS	C3P_PPM	40	C3p_ppm	sql.NullString	C3p_ppm		float	ppm	parts per million (ppm)	Measurement value of Propylene (C3=) in ppm.
JanusChemGas	OCD_CHEM_GAS	I_C4_PPM	41	I_c4_ppm	sql.NullString	I_C4_ppm		float	ppm	parts per million (ppm)	Measurement value of i Butane (I-C4) in ppm.
JanusChemGas	OCD_CHEM_GAS	N_C4_PPM	42	N_c4_ppm	sql.NullString	N_C4_ppm		float	ppm	parts per million (ppm)	Measurement value of n Butane (N-C4) in ppm.
JanusChemGas	OCD_CHEM_GAS	N_C5_PPM	43	N_c5_ppm	sql.NullString	N_C5_ppm		float	ppm	parts per million (ppm)	Measurement value of n Pentane (N-C4) in ppm.
JanusChemGas	OCD_CHEM_GAS	I_C5_PPM	44	I_c5_ppm	sql.NullString	I_C5_ppm		float	ppm	parts per million (ppm)	Measurement value of i Pentane (I-C5) in ppm.
JanusChemGas	OCD_CHEM_GAS	N_C6_PPM	45	N_c6_ppm	sql.NullString	N_C6_ppm		float	ppm	parts per million (ppm)	Measurement value of n Hexane (N-C6) in ppm.
JanusChemGas	OCD_CHEM_GAS	I_C6_PPM	46	I_c6_ppm	sql.NullString	I_C6_ppm		float	ppm	parts per million (ppm)	Measurement value of i Hexane (I-C6) in ppm.
JanusChemGas	OCD_CHEM_GAS	N_C7_PPM	47	N_c7_ppm	sql.NullString	N_C7_ppm		float	ppm	parts per million (ppm)	Measurement value of n Heptane (N-C7) in ppm.
JanusChemGas	OCD_CHEM_GAS	I_C7_PPM	48	I_c7_ppm	sql.NullString	I_C7_ppm		float	ppm	parts per million (ppm)	Measurement value of i Heptane (I-C7) in ppm.
JanusChemGas	OCD_CHEM_GAS	N2_PPM	49	N2_ppm	sql.NullString	N2_ppm		float	ppm	parts per million (ppm)	Measurement value of Nitrogen (N2) in ppm.
JanusChemGas	OCD_CHEM_GAS	O2_PPM	50	O2_ppm	sql.NullString	O2_ppm		float	ppm	parts per million (ppm)	Measurement value of Oxygen (O2) in ppm.
JanusChemGas	OCD_CHEM_GAS	H2S_PPM	51	H2s_ppm	sql.NullString	H2S_ppm		float	ppm	parts per million (ppm)	Measurement value of Hydrogen Sulfide (H2S) in ppm.
JanusChemGas	OCD_CHEM_GAS	CO2_PPM	52	Co2_ppm	sql.NullString	CO2_ppm		float	ppm	parts per million (ppm)	Measurement value of Carbon Dioxide (CO2) in ppm.
JanusChemIw	OCD_CHEM_IW	LEG	1	Leg	int64	Leg					Number identifying the cruise.
JanusChemIw	OCD_CHEM_IW	SITE	2	Site	int64	Site					Number identifying the site from which the core was retrieved. A site is the position of a beacon around which holes are drilled.
JanusChemIw	OCD_CHEM_IW	HOLE	3	Hole	string	Hole					Letter identifying the hole at a site from which a core was retrieved or data was collected.
JanusChemIw	OCD_CHEM_IW	CORE	4	Core	int64	Core					Sequential numbers identifying the cores retrieved from a particular hole.
JanusChemIw	OCD_CHEM_IW	CORE_TYPE	5	Core_type	string	Core_type					Letter code identifying the drill bit/coring method used to retrieve the core.
JanusChemIw	OCD_CHEM_IW	SECTION_NUMBER	6	Section_number	int64	Section_number					Sequential number of a section of a core.
JanusChemIw	OCD_CHEM_IW	SECTION_TYPE	7	Section_type	string	Section_type					Type of a section (C=Core Catcher, S=Core).
JanusChemIw	OCD_CHEM_IW	SECTION_ID	8	Section_id	int64	Section_id					Identifier (ID) of a section of a core.
