Project,Type,FileName,FileExt,Parent Directory,Relative Path,Voc URI
CAHO,Unknown,CAHO_MSCL_20120606_part3.dat,.dat,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part3/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part3/CAHO_MSCL_20120606_part3.dat,
CAHO,Unknown,CAHO_MSCL_20120606_part3.out,.out,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part3/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part3/CAHO_MSCL_20120606_part3.out,
CAHO,Unknown,CAHO_MSCL_20120606_part3.raw,.raw,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part3/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part3/CAHO_MSCL_20120606_part3.raw,
CAHO,Unknown,CAHO_MSCL_20120606_part4.cal,.cal,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part4/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part4/CAHO_MSCL_20120606_part4.cal,
CAHO,Unknown,CAHO_MSCL_20120606_part4.dat,.dat,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part4/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part4/CAHO_MSCL_20120606_part4.dat,
CAHO,Unknown,CAHO_MSCL_20120606_part4.out,.out,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part4/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part4/CAHO_MSCL_20120606_part4.out,
CAHO,Unknown,CAHO_MSCL_20120606_part4.raw,.raw,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part4/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part4/CAHO_MSCL_20120606_part4.raw,
CAHO,ICD,CAHO-GRAS11-1A-1L-1.pdf,.pdf,CAHO/ICD/,CAHO/ICD/CAHO-GRAS11-1A-1L-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles
CAHO,ICD,CAHO-GRAS11-1A-2L-1.pdf,.pdf,CAHO/ICD/,CAHO/ICD/CAHO-GRAS11-1A-2L-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles
CAHO,ICD,CAHO-GRAS11-1B-1L-1.pdf,.pdf,CAHO/ICD/,CAHO/ICD/CAHO-GRAS11-1B-1L-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles
